id,level,title,pattern,meaning_vi,native_note,common_mistake,example_zh,example_pinyin,example_vi
hsk1_g01,HSK1,Câu chữ 是: A là B,A + 是 + B,"Dùng để giới thiệu danh tính, nghề nghiệp, quốc tịch, quan hệ.","Trong nói chuyện, 是 rất chắc: A chính là B. Không dùng 是 trước tính từ đơn giản như 好/忙/大.",Sai: 我是很好。Đúng: 我很好。,我不是老师。,Wǒ bú shì lǎoshī.,Tôi không phải giáo viên.
hsk1_g02,HSK1,Câu hỏi với 吗,Câu trần thuật + 吗？,Biến một câu bình thường thành câu hỏi có/không.,"Người bản địa dùng 吗 khi thật sự muốn xác nhận thông tin, giọng điệu nhẹ.",Không thêm 吗 vào câu đã có từ hỏi như 什么/谁/哪儿.,你是学生吗？,Nǐ shì xuésheng ma?,Bạn là học sinh/sinh viên à?
hsk1_g03,HSK1,Câu hỏi 什么,什么 đặt đúng vị trí cần hỏi,"Hỏi “cái gì”, “gì”, “loại gì”.",Không đưa 什么 lên đầu câu theo kiểu tiếng Việt; nó nằm ở vị trí của thông tin còn thiếu.,Sai: 什么你喝？Đúng: 你喝什么？,你喝什么？,Nǐ hē shénme?,Bạn uống gì?
hsk1_g04,HSK1,Câu hỏi 谁,谁 thay cho người cần hỏi,"Dùng để hỏi ai, có thể làm chủ ngữ hoặc tân ngữ.",Cứ đặt 谁 vào đúng chỗ người chưa biết.,Không cần thêm 吗.,他是谁？,Tā shì shéi?,Anh ấy là ai?
hsk1_g05,HSK1,Câu hỏi 哪儿,在/去 + 哪儿？,"Hỏi nơi ở, nơi đến, vị trí.",在 hỏi đang ở đâu; 去 hỏi đi đâu.,Sai: 你在哪儿去？,你去哪儿？,Nǐ qù nǎr?,Bạn đi đâu?
hsk1_g06,HSK1,Câu hỏi 哪 + danh từ,哪 + lượng từ/danh từ,"Hỏi “cái nào”, “nơi nào”, “người nào”.","Khi danh từ đếm được, thường thêm lượng từ.","Chú ý 哪儿 là “ở đâu”, 哪 là “nào”.",你是哪国人？,Nǐ shì nǎ guó rén?,Bạn là người nước nào?
hsk1_g07,HSK1,Câu hỏi 几,几 + lượng từ + danh từ,"Hỏi số lượng nhỏ, thường dự đoán dưới 10.","Dùng rất nhiều khi hỏi tuổi, ngày, mấy người, mấy quyển.",几 thường cần lượng từ phía sau.,你有几个朋友？,Nǐ yǒu jǐ ge péngyou?,Bạn có mấy người bạn?
hsk1_g08,HSK1,Câu hỏi 多少,多少 + danh từ / 多少钱,"Hỏi bao nhiêu, dùng được cho số lượng lớn hoặc giá tiền.","Khi hỏi giá, nói 多少钱 là tự nhiên nhất.",Không cần lượng từ bắt buộc sau 多少 trong nhiều trường hợp.,这个多少钱？,Zhège duōshao qián?,Cái này bao nhiêu tiền?
hsk1_g09,HSK1,Trợ từ 的: sở hữu,Người + 的 + danh từ,Nối người sở hữu với vật/người được sở hữu.,Với quan hệ thân thuộc có thể bỏ 的: 我妈妈 tự nhiên hơn 我的妈妈 trong nhiều ngữ cảnh.,Đừng dùng 的 sau mọi đại từ nếu không cần.,这是我的书。,Zhè shì wǒ de shū.,Đây là sách của tôi.
hsk1_g10,HSK1,Trợ từ 的: định ngữ,Tính chất/cụm miêu tả + 的 + danh từ,Dùng để gắn thông tin miêu tả trước danh từ.,Cấu trúc này giống “danh từ mà có đặc điểm…” trong tiếng Việt.,Tính từ một âm tiết đôi khi không cần 的 trong cụm quen thuộc.,漂亮的衣服。,Piàoliang de yīfu.,Quần áo đẹp.
hsk1_g11,HSK1,Cụm danh từ với 的,Đại từ/tính từ + 的,"Khi danh từ đã rõ, có thể dùng 的 để thay cho “cái/người ...”.",Người bản địa dùng cách này để tránh lặp danh từ.,Cần có ngữ cảnh để biết 的 thay cho danh từ nào.,这个是我的。,Zhège shì wǒ de.,Cái này là của tôi.
hsk1_g12,HSK1,Phủ định 不,不 + động từ/tính từ,"Phủ định thói quen, ý muốn, hiện tại/tương lai hoặc tính chất.",不 đi trước phần bạn muốn phủ định.,不 + 是 đọc thường thành bú shì.,我不喝茶。,Wǒ bù hē chá.,Tôi không uống trà.
hsk1_g13,HSK1,Phủ định 没/没有,没/没有 + động từ / danh từ,Phủ định việc đã xảy ra hoặc nói “không có”.,"Hỏi quá khứ/đã làm chưa thường dùng 没, không dùng 不.",Sai: 我不有钱。Đúng: 我没有钱。,我没有钱。,Wǒ méiyǒu qián.,Tôi không có tiền.
hsk1_g14,HSK1,Câu 有,Chủ ngữ/địa điểm + 有 + danh từ,Nói ai có gì hoặc nơi nào có gì.,"Rất quan trọng để mô tả đồ vật, người trong không gian.","Phủ định là 没有, không phải 不有.",桌子上有一本书。,Zhuōzi shàng yǒu yì běn shū.,Trên bàn có một quyển sách.
hsk1_g15,HSK1,在 chỉ vị trí,Chủ ngữ + 在 + địa điểm,Nói ai/vật đang ở đâu.,在 đứng trước nơi chốn.,Đừng nói 我学校在 nếu muốn nói tôi ở trường.,我在学校。,Wǒ zài xuéxiào.,Tôi ở trường.
hsk1_g16,HSK1,在 chỉ đang làm,Chủ ngữ + 在 + động từ,Nói hành động đang diễn ra.,HSK1 có thể dùng 在 đơn giản; HSK2 học 正在 để nhấn mạnh hơn.,Không cần thêm 是 trước 在.,他在看电视。,Tā zài kàn diànshì.,Anh ấy đang xem tivi.
hsk1_g17,HSK1,Câu tính từ với 很,Chủ ngữ + 很 + tính từ,Tính từ làm vị ngữ; 很 thường làm câu tự nhiên hơn.,很 không phải lúc nào cũng mạnh như “rất”; nhiều khi chỉ là cầu nối ngữ pháp.,Sai: 天气是热。,天气很热。,Tiānqì hěn rè.,Thời tiết nóng.
hsk1_g18,HSK1,也: cũng,Chủ ngữ + 也 + vị ngữ,Nói chủ ngữ cũng có hành động/trạng thái giống trước đó.,也 đứng trước động từ/tính từ chính.,Sai: 我是也学生。,我也是学生。,Wǒ yě shì xuésheng.,Tôi cũng là học sinh/sinh viên.
hsk1_g19,HSK1,都: đều,Chủ ngữ số nhiều + 都 + vị ngữ,Nói tất cả trong nhóm đều như vậy.,"都 đứng sau nhóm người/vật, trước phần nhận xét.",Không dùng 都 cho một người đơn lẻ nếu không có ý “tất cả”.,我们都喜欢茶。,Wǒmen dōu xǐhuan chá.,Chúng tôi đều thích trà.
hsk1_g20,HSK1,"和: và, với",Danh từ + 和 + danh từ,"Nối danh từ/đại từ, không nối hai câu hoàn chỉnh.",Muốn nói “tôi và bạn” dùng 我和你.,Đừng dùng 和 để nối hai động từ như tiếng Việt.,我和朋友去学校。,Wǒ hé péngyou qù xuéxiào.,Tôi và bạn đi đến trường.
hsk1_g21,HSK1,Số + lượng từ + danh từ,Số + lượng từ + danh từ,Danh từ tiếng Trung thường cần lượng từ khi đếm.,"个 là lượng từ phổ thông, 本 dùng cho sách, 杯 dùng cho cốc.",Sai: 三书。,三本书。,Sān běn shū.,Ba quyển sách.
hsk1_g22,HSK1,Thời gian trong câu,Chủ ngữ + thời gian + động từ,"Thời gian thường đứng trước động từ, sau hoặc trước chủ ngữ.",Nói tự nhiên: 我今天去学校 / 今天我去学校.,Đừng đặt 今天 cuối câu như tiếng Việt quá thường xuyên.,我今天学习汉语。,Wǒ jīntiān xuéxí Hànyǔ.,Hôm nay tôi học tiếng Trung.
hsk1_g23,HSK1,Ngày tháng năm,Năm + 月 + 日/号,Thứ tự thời gian tiếng Trung đi từ lớn đến nhỏ.,Nói ngày tháng tự nhiên: 2026年五月十八号.,Không nói theo thứ tự Việt “18 tháng 5” nếu viết tiếng Trung đầy đủ.,今天是五月十八号。,Jīntiān shì wǔ yuè shíbā hào.,Hôm nay là ngày 18 tháng 5.
hsk1_g24,HSK1,Hỏi giờ 点,Số + 点 + 分,"Dùng 点 cho giờ, 分钟/分 cho phút.","Trong nói hằng ngày, 两点 dùng cho 2 giờ, không dùng 二点.","2 giờ nói 两点, không phải 二点.",现在三点十分。,Xiànzài sān diǎn shí fēn.,Bây giờ là 3 giờ 10 phút.
hsk1_g25,HSK1,了: thay đổi trạng thái,Tính từ/câu + 了,Nói trạng thái đã thay đổi so với trước.,"Thường dịch là “rồi”: trời lạnh rồi, anh ấy đến rồi.",Đừng dịch mọi 了 thành quá khứ máy móc.,天气冷了。,Tiānqì lěng le.,Trời lạnh rồi.
hsk1_g26,HSK1,了: hành động hoàn thành,Động từ + tân ngữ + 了,Nói hành động đã hoàn thành trong ngữ cảnh.,Rất hay dùng khi báo việc đã xong.,"Phủ định quá khứ thường dùng 没, không dùng 不...了.",我吃饭了。,Wǒ chī fàn le.,Tôi ăn cơm rồi.
hsk1_g27,HSK1,太...了,太 + tính từ + 了,Nhấn mạnh “quá/rất”.,Có thể khen hoặc than phiền tùy ngữ cảnh.,Đừng bỏ 了 trong mẫu cảm thán này.,太好了！,Tài hǎo le!,Tốt quá!
hsk1_g28,HSK1,想 + động từ,想 + V,Nói muốn làm gì.,"Nếu có chuỗi hành động, đặt 想 trước động từ đầu: 想去买.",Sai: 我去想买。Đúng: 我想去买。,我想喝水。,Wǒ xiǎng hē shuǐ.,Tôi muốn uống nước.
hsk1_g29,HSK1,会: biết làm do học được,会 + động từ,"Nói kỹ năng đã học: biết nói, biết viết, biết lái xe.",会 thiên về năng lực học được.,Đừng dùng 会 cho mọi “có thể”; 能/可以 có sắc thái khác.,我会说汉语。,Wǒ huì shuō Hànyǔ.,Tôi biết nói tiếng Trung.
hsk1_g30,HSK1,能: có khả năng/điều kiện,能 + động từ,"Nói có thể làm vì sức khỏe, điều kiện, hoàn cảnh cho phép.",Hỏi lịch sự: 你能来吗？,"会 = biết kỹ năng, 能 = có điều kiện/khả năng.",你能来吗？,Nǐ néng lái ma?,Bạn có thể đến không?
hsk1_g31,HSK1,呢: hỏi lại/tiếp tục chủ đề,Danh từ/đại từ + 呢？,Dùng để hỏi “còn ... thì sao?” hoặc kéo chủ đề tiếp.,Rất tự nhiên trong hội thoại ngắn.,Không dùng 呢 thay cho mọi câu hỏi.,我很好，你呢？,"Wǒ hěn hǎo, nǐ ne?","Tôi khỏe, còn bạn thì sao?"
hsk1_g32,HSK1,请: xin mời / vui lòng,请 + động từ,"Dùng để mời, yêu cầu lịch sự.",Trong lớp học và giao tiếp lịch sự rất hay gặp.,请 không phải lúc nào cũng là “mời”; có thể là “xin hãy”.,请坐。,Qǐng zuò.,Mời ngồi.
hsk1_g33,HSK1,叫: tên là/gọi là,Chủ ngữ + 叫 + tên,Giới thiệu tên.,Người Trung nói 我叫... rất tự nhiên.,Không dùng 是 trực tiếp với tên trong mọi trường hợp; 我叫... tự nhiên hơn.,我叫李明。,Wǒ jiào Lǐ Míng.,Tôi tên là Lý Minh.
hsk1_g34,HSK1,姓: họ là,Chủ ngữ + 姓 + họ,Hỏi và trả lời họ.,Lịch sự hơn khi hỏi họ của người khác: 您贵姓？,"Tên đầy đủ dùng 叫, họ dùng 姓.",我姓王。,Wǒ xìng Wáng.,Tôi họ Vương.
hsk1_g35,HSK1,喜欢 + danh từ/động từ,喜欢 + N / V,"Nói thích ai, thích gì, thích làm gì.","Nếu thích làm việc gì, đặt động từ sau 喜欢.",Không cần 的 sau động từ ở mẫu này.,我喜欢喝茶。,Wǒ xǐhuan hē chá.,Tôi thích uống trà.
hsk1_g36,HSK1,去/来 + nơi chốn,去/来 + địa điểm,"去 là đi đến nơi khác, 来 là đến phía người nói.",Hướng nhìn của người nói quyết định dùng 来 hay 去.,Đừng dùng 来 nếu điểm đến không gần phía người nói.,他来我家。,Tā lái wǒ jiā.,Anh ấy đến nhà tôi.
hsk2_g01,HSK2,的时候: khi/lúc,Mệnh đề/Thời gian + 的时候,Dùng để nói thời điểm khi một việc xảy ra.,Cấu trúc này giúp câu tự nhiên hơn thay vì chỉ ghép 2 mệnh đề rời rạc.,Không nói 的时间 trong mẫu này.,我吃饭的时候，他来了。,"Wǒ chī fàn de shíhou, tā lái le.","Khi tôi đang ăn cơm, anh ấy đến."
hsk2_g02,HSK2,比: so sánh hơn,A + 比 + B + tính từ,So sánh A hơn B về một tính chất.,Không dùng 很 ngay sau tính từ trong mẫu 比 cơ bản.,Sai: 他比我很高。Đúng: 他比我高。,今天比昨天冷。,Jīntiān bǐ zuótiān lěng.,Hôm nay lạnh hơn hôm qua.
hsk2_g03,HSK2,没有: so sánh kém hơn/không bằng,A + 没有 + B + tính từ,Nói A không bằng B ở một mặt nào đó.,Tự nhiên hơn khi muốn nói “không ... bằng”.,Đừng dịch từng chữ “không có anh ấy cao”.,我没有他高。,Wǒ méiyǒu tā gāo.,Tôi không cao bằng anh ấy.
hsk2_g04,HSK2,得: bổ ngữ mức độ,Động từ + 得 + miêu tả,Đánh giá hành động làm như thế nào.,"Rất quan trọng để nói tự nhiên: nói tốt, chạy nhanh, viết đẹp.",得 này khác 的 sở hữu.,他说得很好。,Tā shuō de hěn hǎo.,Anh ấy nói rất tốt.
hsk2_g05,HSK2,的 / 地 / 得 phân biệt,的 + danh từ; 地 + động từ; 得 + bổ ngữ,Ba chữ đều đọc “de” nhưng chức năng khác nhau.,"Mẹo: 的 đứng trước danh từ, 地 đứng trước hành động, 得 đứng sau động từ để nhận xét.",Không viết lẫn 的/地/得 khi luyện viết.,他高兴地说。,Tā gāoxìng de shuō.,Anh ấy vui vẻ nói.
hsk2_g06,HSK2,过: đã từng,Động từ + 过,Nói kinh nghiệm đã từng làm.,"Không nhất thiết nói thời điểm cụ thể, chỉ nhấn mạnh trải nghiệm.",Phủ định: 没去过.,我去过北京。,Wǒ qù guo Běijīng.,Tôi đã từng đi Bắc Kinh.
hsk2_g07,HSK2,着: trạng thái đang duy trì,Động từ + 着,Nói trạng thái sau hành động vẫn đang tồn tại.,"Hay dùng với 开着, 坐着, 穿着.",Không dùng 着 cho mọi “đang”; 正在 + V khác.,门开着。,Mén kāi zhe.,Cửa đang mở.
hsk2_g08,HSK2,正在: đang làm,正在 + động từ,Nhấn mạnh hành động đang diễn ra ngay lúc nói.,"Mạnh hơn 在 + V, thường dùng khi muốn nhấn mạnh “đang”.",Không cần 是 trước 正在.,我正在学习。,Wǒ zhèngzài xuéxí.,Tôi đang học.
hsk2_g09,HSK2,因为...所以...,因为 + nguyên nhân，所以 + kết quả,Nối nguyên nhân và kết quả.,Trong tiếng Trung có thể dùng cả 因为 và 所以 trong cùng câu.,Đừng đảo vị trí kết quả lên trước nếu chưa nắm chắc.,因为下雨，所以我不去。,"Yīnwèi xià yǔ, suǒyǐ wǒ bú qù.",Vì trời mưa nên tôi không đi.
hsk2_g10,HSK2,虽然...但是...,虽然 + vế 1，但是 + vế 2,Diễn tả tương phản “tuy... nhưng...”.,Người Trung thường dùng cả cặp để câu rõ ràng.,Không dùng 可是/但是 chồng quá nhiều.,虽然很忙，但是我很高兴。,"Suīrán hěn máng, dànshì wǒ hěn gāoxìng.",Tuy rất bận nhưng tôi rất vui.
hsk2_g11,HSK2,已经...了,已经 + V/Adj + 了,Nói việc đã xảy ra hoặc trạng thái đã đạt tới.,"已经 nhấn mạnh “đã rồi”, 了 khép câu tự nhiên.",Phủ định thường dùng 还没.,我已经吃饭了。,Wǒ yǐjīng chī fàn le.,Tôi đã ăn cơm rồi.
hsk2_g12,HSK2,还没: vẫn chưa,还没 + động từ,Nói việc đến giờ vẫn chưa xảy ra.,Dùng để trả lời “đã... chưa?” rất tự nhiên.,Không dùng 不 cho việc chưa xảy ra trong quá khứ.,我还没去过。,Wǒ hái méi qù guo.,Tôi vẫn chưa từng đi.
hsk2_g13,HSK2,每...都...,每 + thời gian/người/vật + 都 + vị ngữ,Nói mỗi cái/mỗi ngày đều như vậy.,Đặc biệt quan trọng khi kể thói quen hằng ngày.,Đừng bỏ 都 nếu muốn nhấn mạnh “đều”.,我每天都学习汉语。,Wǒ měitiān dōu xuéxí Hànyǔ.,Mỗi ngày tôi đều học tiếng Trung.
hsk2_g14,HSK2,再 và 又,再 cho tương lai; 又 cho việc đã lặp lại,"Cả hai đều là “lại”, nhưng thời điểm khác nhau.",再 nói việc sẽ làm lại; 又 nói việc đã xảy ra thêm lần nữa.,他又迟到了 = anh ấy lại đến muộn rồi.,请再说一次。,Qǐng zài shuō yí cì.,Xin hãy nói lại một lần nữa.
hsk2_g15,HSK2,就: sớm/ngay/thì,Thời gian/điều kiện + 就 + hành động,"Nhấn mạnh xảy ra sớm, nhanh hoặc theo điều kiện.","就 rất bản địa, giúp câu có nhịp tự nhiên hơn.",Đừng dịch 就 cố định là “chỉ”.,我马上就来。,Wǒ mǎshàng jiù lái.,Tôi đến ngay.
hsk2_g16,HSK2,才: muộn/mới,Thời gian + 才 + hành động,Nhấn mạnh muộn hơn mong đợi hoặc điều kiện mới đủ.,So với 就: 就 = đã/sớm; 才 = mới/muộn.,Đây là cặp rất quan trọng với thời gian.,他十点才起床。,Tā shí diǎn cái qǐchuáng.,Mười giờ anh ấy mới dậy.
hsk2_g17,HSK2,快要/要...了: sắp,快要/要 + V + 了,Nói việc sắp xảy ra.,Thường đi với thời gian gần: 快要下雨了.,Đừng nhầm 要 = muốn với 要...了 = sắp.,我们要考试了。,Wǒmen yào kǎoshì le.,Chúng tôi sắp thi rồi.
hsk2_g18,HSK2,离: cách,A + 离 + B + xa/近,Nói khoảng cách giữa hai nơi/thời điểm.,"Thứ tự là nơi A cách nơi B, không giống hoàn toàn tiếng Việt.",Không nói 学校很近我家.,学校离我家很近。,Xuéxiào lí wǒ jiā hěn jìn.,Trường cách nhà tôi rất gần.
hsk2_g19,HSK2,从...到...,从 + điểm đầu + 到 + điểm cuối,"Nói từ đâu đến đâu, từ lúc nào đến lúc nào.",Dùng cho đường đi và thời gian rất nhiều.,Từ sáng đến tối: 从早上到晚上.,我从家到学校。,Wǒ cóng jiā dào xuéxiào.,Tôi đi từ nhà đến trường.
hsk2_g20,HSK2,往: hướng về,往 + hướng/nơi + động từ,Chỉ hướng di chuyển/hành động.,"Hay gặp khi chỉ đường: 往左走, 往前走.",往 thường đi với động từ di chuyển.,请往右边走。,Qǐng wǎng yòubian zǒu.,Xin hãy đi về bên phải.
hsk2_g21,HSK2,给: cho/đến người nhận,给 + người + vật/động từ,Chỉ người nhận hoặc người được hành động hướng tới.,Gọi điện cho ai: 给妈妈打电话.,Đừng luôn dịch 给 là “cho”; có khi là “cho ai đó làm gì”.,我给你一本书。,Wǒ gěi nǐ yì běn shū.,Tôi đưa bạn một quyển sách.
hsk2_g22,HSK2,让: để/bảo/khiến,让 + người + động từ,"Cho phép, yêu cầu hoặc khiến ai làm gì.",Tùy giọng điệu có thể mềm hoặc mạnh.,Cẩn thận phân biệt 让 và 给.,老师让我读书。,Lǎoshī ràng wǒ dú shū.,Thầy/cô bảo tôi đọc sách.
hsk2_g23,HSK2,可以: có thể/được phép,可以 + động từ,Nói có thể làm vì được phép hoặc điều kiện cho phép.,Hỏi xin phép rất tự nhiên: 可以吗？,"可以 thiên về được phép, 能 thiên về khả năng/điều kiện.",我可以进去吗？,Wǒ kěyǐ jìnqù ma?,Tôi có thể vào không?
hsk2_g24,HSK2,可能: có khả năng,可能 + vị ngữ,Đưa ra suy đoán.,Dùng khi chưa chắc chắn.,可能 đứng trước phần được phỏng đoán.,明天可能下雨。,Míngtiān kěnéng xià yǔ.,Ngày mai có thể mưa.
hsk2_g25,HSK2,别/不要: đừng,别/不要 + động từ,Khuyên hoặc yêu cầu không làm gì.,"别 ngắn gọn, tự nhiên trong khẩu ngữ.",Đừng dùng 不 ở mệnh lệnh cấm: 不说话 nghe không tự nhiên.,别说话。,Bié shuōhuà.,Đừng nói chuyện.
hsk2_g26,HSK2,一下: một chút/thử,Động từ + 一下,Làm câu nhẹ và lịch sự hơn.,"Bạn sẽ nghe 看一下, 等一下, 说一下 rất nhiều.",Không nhất thiết đúng nghĩa “một lần”.,请等一下。,Qǐng děng yíxià.,Xin đợi một chút.
hsk2_g27,HSK2,一边...一边...,一边 + V1，一边 + V2,Hai hành động xảy ra cùng lúc.,Dùng cho cùng một chủ thể.,Không dùng cho hai chủ thể khác nhau nếu không rõ.,他一边吃饭，一边看电视。,"Tā yìbiān chī fàn, yìbiān kàn diànshì.",Anh ấy vừa ăn vừa xem tivi.
hsk2_g28,HSK2,第: số thứ tự,第 + số,Biến số đếm thành số thứ tự.,"第一课, 第二个人.","第 đứng trước số, không đứng sau.",这是第一课。,Zhè shì dì-yī kè.,Đây là bài thứ nhất.
hsk2_g29,HSK2,次: số lần,Số + 次,Nói số lần thực hiện hành động.,"Hai lần dùng 两次, không phải 二次 trong khẩu ngữ thường.",2 lượng từ thường dùng 两.,我去过北京两次。,Wǒ qù guo Běijīng liǎng cì.,Tôi đã từng đi Bắc Kinh hai lần.
hsk2_g30,HSK2,完: xong,Động từ + 完,"Bổ ngữ kết quả, nói hành động đã làm xong.",Rất tự nhiên khi báo hoàn thành.,Nếu có tân ngữ: 我看完这本书了.,我看完了。,Wǒ kàn wán le.,Tôi xem/đọc xong rồi.
hsk2_g31,HSK2,到: đạt tới/tìm thấy,Động từ + 到,Bổ ngữ kết quả chỉ đạt được mục tiêu.,"找到了 = tìm thấy rồi, 买到了 = mua được rồi.",找 = tìm; 找到 = tìm thấy.,我找到他了。,Wǒ zhǎodào tā le.,Tôi tìm thấy anh ấy rồi.
hsk2_g32,HSK2,好 + V: dễ làm,好 + động từ,Nói việc gì dễ/đáng làm theo cảm nhận.,"好吃, 好看, 好听 là các từ rất bản địa.","好吃 không phải “ăn tốt”, mà là ngon.",这个菜很好吃。,Zhège cài hěn hǎochī.,Món này rất ngon.
hsk2_g33,HSK2,V + V: thử/làm một chút,Động từ lặp lại,"Làm câu nhẹ hơn, giống “thử ... xem”.","看看, 想想, 说说 rất khẩu ngữ.",Không lặp động từ tùy tiện trong mọi văn cảnh trang trọng.,你看看这个。,Nǐ kànkan zhège.,Bạn xem thử cái này đi.
hsk2_g34,HSK2,不是...吗？,Câu khẳng định/phủ định + 不是...吗？,"Câu hỏi phản vấn, thường người hỏi đã có dự đoán.",Dùng khi muốn xác nhận điều mình nghĩ.,Sắc thái khác câu 你是学生吗？,你不是学生吗？,Nǐ bú shì xuésheng ma?,Không phải bạn là học sinh à?
hsk2_g35,HSK2,多 + tính từ: hỏi mức độ,多 + Adj,"Hỏi cao bao nhiêu, xa bao nhiêu, lớn bao nhiêu, dài bao nhiêu.",HSK2 dùng nhiều với 大/高/远/长.,多大 hỏi tuổi/kích cỡ tùy ngữ cảnh.,你家离学校多远？,Nǐ jiā lí xuéxiào duō yuǎn?,Nhà bạn cách trường bao xa?
hsk2_g36,HSK2,以前/以后: trước/sau,Thời gian/sự việc + 以前/以后,Nói trước hoặc sau một mốc.,Rất hữu ích khi kể lịch trình.,"以后 không chỉ là “sau này”, có thể là sau một việc.",吃饭以后，我去学校。,"Chī fàn yǐhòu, wǒ qù xuéxiào.","Sau khi ăn cơm, tôi đi học."
