id,level,title,pattern,explanation,example_1_zh,example_1_pinyin,example_1_vi,example_2_zh,example_2_pinyin,example_2_vi
g_hsk1_001,HSK1,Câu chữ 是: A là B,A + 是 + B,"Dùng 是 để giới thiệu, định danh hoặc nói A thuộc nhóm B. Không dùng 是 trước tính từ đơn giản như 好, 大, 忙.",我是学生。,Wǒ shì xuésheng.,Tôi là học sinh/sinh viên.,他是老师。,Tā shì lǎoshī.,Anh ấy là giáo viên.
g_hsk1_002,HSK1,Câu hỏi với 吗,Câu trần thuật + 吗？,Thêm 吗 vào cuối câu trần thuật để tạo câu hỏi có/không. Khi trả lời có thể lặp lại động từ/tính từ chính hoặc dùng 不/没 phủ định.,你是学生吗？,Nǐ shì xuésheng ma?,Bạn là học sinh/sinh viên à?,你喝茶吗？,Nǐ hē chá ma?,Bạn uống trà không?
g_hsk1_003,HSK1,Câu hỏi với 什么,Chủ ngữ + động từ + 什么？,"什么 nghĩa là cái gì, dùng để hỏi sự vật, hành động hoặc nội dung. Vị trí của 什么 thường nằm đúng chỗ cần hỏi trong câu.",你吃什么？,Nǐ chī shénme?,Bạn ăn gì?,这是什么？,Zhè shì shénme?,Đây là cái gì?
g_hsk1_004,HSK1,Câu hỏi với 谁,谁 + động từ / 是 + 谁？,"谁 nghĩa là ai. Có thể đứng ở vị trí chủ ngữ, tân ngữ hoặc sau 是 để hỏi người.",他是谁？,Tā shì shéi?,Anh ấy là ai?,谁是老师？,Shéi shì lǎoshī?,Ai là giáo viên?
g_hsk1_005,HSK1,Câu hỏi với 哪儿,Chủ ngữ + 在 / 去 + 哪儿？,"哪儿 dùng để hỏi địa điểm. Với 在 hỏi đang ở đâu, với 去 hỏi đi đâu.",你在哪儿？,Nǐ zài nǎr?,Bạn ở đâu?,你去哪儿？,Nǐ qù nǎr?,Bạn đi đâu?
g_hsk1_006,HSK1,的 biểu thị sở hữu,Người / đại từ + 的 + danh từ,的 nối người sở hữu với vật/người được sở hữu. Với quan hệ rất thân như 我妈妈 có thể lược bỏ 的.,这是我的书。,Zhè shì wǒ de shū.,Đây là sách của tôi.,他爸爸是医生。,Tā bàba shì yīshēng.,Bố anh ấy là bác sĩ.
g_hsk1_007,HSK1,Phủ định với 不,不 + động từ / tính từ,"不 dùng để phủ định thói quen, ý muốn, tính chất hoặc hành động ở hiện tại/tương lai.",我不喝茶。,Wǒ bù hē chá.,Tôi không uống trà.,他不高兴。,Tā bù gāoxìng.,Anh ấy không vui.
g_hsk1_008,HSK1,Phủ định với 没 / 没有,没 / 没有 + động từ / danh từ,没 hoặc 没有 thường phủ định việc đã xảy ra hoặc nói không có vật/người nào đó.,我没有钱。,Wǒ méiyǒu qián.,Tôi không có tiền.,他没来。,Tā méi lái.,Anh ấy chưa đến/đã không đến.
g_hsk1_009,HSK1,Câu 有: có,Chủ ngữ / địa điểm + 有 + danh từ,有 dùng để nói ai đó có thứ gì hoặc nơi nào đó có người/vật gì.,我有一个朋友。,Wǒ yǒu yí ge péngyou.,Tôi có một người bạn.,桌子上有书。,Zhuōzi shàng yǒu shū.,Trên bàn có sách.
g_hsk1_010,HSK1,在 chỉ vị trí hoặc hành động đang diễn ra,Chủ ngữ + 在 + địa điểm / 在 + động từ,"在 có thể nghĩa là ở tại một nơi, hoặc đứng trước động từ để nói đang làm gì.",我在学校。,Wǒ zài xuéxiào.,Tôi ở trường.,他在看电视。,Tā zài kàn diànshì.,Anh ấy đang xem tivi.
g_hsk1_011,HSK1,Câu tính từ với 很,Chủ ngữ + 很 + tính từ,"Trong tiếng Trung, tính từ có thể làm vị ngữ. 很 thường được thêm trước tính từ để câu tự nhiên hơn, đôi khi không nhấn mạnh 'rất'.",她很漂亮。,Tā hěn piàoliang.,Cô ấy xinh.,天气很热。,Tiānqì hěn rè.,Thời tiết nóng.
g_hsk1_012,HSK1,想: muốn / nghĩ / nhớ,想 + động từ / danh từ,"想 thường dùng để nói muốn làm gì, nghĩ về điều gì hoặc nhớ ai đó tùy ngữ cảnh.",我想喝水。,Wǒ xiǎng hē shuǐ.,Tôi muốn uống nước.,我想妈妈。,Wǒ xiǎng māma.,Tôi nhớ mẹ.
g_hsk1_013,HSK1,会 / 能: biết làm / có thể,会 / 能 + động từ,会 nhấn mạnh kỹ năng đã học được; 能 nhấn mạnh khả năng hoặc điều kiện cho phép làm.,我会说汉语。,Wǒ huì shuō Hànyǔ.,Tôi biết nói tiếng Trung.,你能来吗？,Nǐ néng lái ma?,Bạn có thể đến không?
g_hsk1_014,HSK1,"都: đều, tất cả",Chủ ngữ số nhiều + 都 + vị ngữ,都 đứng sau chủ ngữ số nhiều để nói tất cả những người/vật đó đều có cùng hành động hoặc tính chất.,我们都是学生。,Wǒmen dōu shì xuésheng.,Chúng tôi đều là học sinh/sinh viên.,他们都喜欢茶。,Tāmen dōu xǐhuan chá.,Họ đều thích trà.
g_hsk1_015,HSK1,和: và,Danh từ + 和 + danh từ,"和 nối danh từ, đại từ hoặc cụm danh từ. Không dùng 和 để nối hai mệnh đề như 'và' trong tiếng Việt.",我和你。,Wǒ hé nǐ.,Tôi và bạn.,爸爸和妈妈在家。,Bàba hé māma zài jiā.,Bố và mẹ ở nhà.
g_hsk1_016,HSK1,Số + lượng từ + danh từ,Số + lượng từ + danh từ,"Khi đếm danh từ tiếng Trung thường cần lượng từ. 个 là lượng từ chung, 本 dùng cho sách/vở.",一个人。,Yí ge rén.,Một người.,三本书。,Sān běn shū.,Ba quyển sách.
g_hsk1_017,HSK1,几 và 多少,几 / 多少 + lượng từ + danh từ？,"几 thường hỏi số lượng nhỏ và hay đi với lượng từ. 多少 hỏi bao nhiêu, dùng linh hoạt hơn.",你有几个朋友？,Nǐ yǒu jǐ ge péngyou?,Bạn có mấy người bạn?,这个多少钱？,Zhège duōshao qián?,Cái này bao nhiêu tiền?
g_hsk1_018,HSK1,Thời gian đứng trước động từ,Chủ ngữ + thời gian + động từ,"Trong tiếng Trung, cụm thời gian thường đứng trước động từ, sau hoặc trước chủ ngữ tùy ý nhấn mạnh.",我今天学习。,Wǒ jīntiān xuéxí.,Hôm nay tôi học.,明天他去北京。,Míngtiān tā qù Běijīng.,Ngày mai anh ấy đi Bắc Kinh.
g_hsk1_019,HSK1,太...了: quá...,太 + tính từ + 了,"Dùng để nhấn mạnh mức độ rất cao, thường dịch là quá hoặc rất.",太好了！,Tài hǎo le!,Tốt quá!,今天太热了。,Jīntiān tài rè le.,Hôm nay nóng quá.
g_hsk1_020,HSK1,了 chỉ sự thay đổi hoặc hoàn thành,Động từ / tính từ + 了,了 có nhiều cách dùng. Ở HSK 1 nên nhớ hai ý cơ bản: hành động đã xảy ra hoặc trạng thái thay đổi.,我吃饭了。,Wǒ chī fàn le.,Tôi ăn cơm rồi.,天气冷了。,Tiānqì lěng le.,Trời lạnh rồi.
g_hsk2_001,HSK2,So sánh với 比,A + 比 + B + tính từ,Dùng 比 để so sánh A hơn B về một tính chất nào đó. Không dùng 很 ngay sau 比 trong mẫu cơ bản.,今天比昨天热。,Jīntiān bǐ zuótiān rè.,Hôm nay nóng hơn hôm qua.,他比我高。,Tā bǐ wǒ gāo.,Anh ấy cao hơn tôi.
g_hsk2_002,HSK2,Bổ ngữ mức độ với 得,Động từ + 得 + tính từ / cụm miêu tả,得 đứng sau động từ để đánh giá hành động diễn ra như thế nào.,他说得很好。,Tā shuō de hěn hǎo.,Anh ấy nói rất tốt.,她跑得很快。,Tā pǎo de hěn kuài.,Cô ấy chạy rất nhanh.
g_hsk2_003,HSK2,Đã từng với 过,Động từ + 过,过 sau động từ để nói đã từng có kinh nghiệm làm việc gì đó.,我去过北京。,Wǒ qù guo Běijīng.,Tôi đã từng đi Bắc Kinh.,你吃过中国菜吗？,Nǐ chī guo Zhōngguó cài ma?,Bạn đã từng ăn món Trung Quốc chưa?
g_hsk2_004,HSK2,Đang làm với 正在,Chủ ngữ + 正在 + động từ,正在 nhấn mạnh hành động đang diễn ra ngay lúc nói hoặc trong khoảng thời gian hiện tại.,我正在学习。,Wǒ zhèngzài xuéxí.,Tôi đang học.,他正在打电话。,Tā zhèngzài dǎ diànhuà.,Anh ấy đang gọi điện thoại.
g_hsk2_005,HSK2,Trạng thái tiếp diễn với 着,Động từ + 着,着 biểu thị trạng thái đang được duy trì sau một hành động.,门开着。,Mén kāi zhe.,Cửa đang mở.,他坐着看书。,Tā zuò zhe kàn shū.,Anh ấy ngồi đọc sách.
g_hsk2_006,HSK2,Bởi vì... cho nên...,因为 + nguyên nhân，所以 + kết quả,"因为 nêu nguyên nhân, 所以 nêu kết quả. Có thể dùng cả hai trong một câu để diễn đạt rõ quan hệ nhân quả.",因为下雨，所以我不去。,"Yīnwèi xià yǔ, suǒyǐ wǒ bú qù.",Vì trời mưa nên tôi không đi.,因为他很忙，所以没来。,"Yīnwèi tā hěn máng, suǒyǐ méi lái.",Vì anh ấy bận nên không đến.
g_hsk2_007,HSK2,Tuy... nhưng...,虽然 + mệnh đề 1，但是 + mệnh đề 2,虽然...但是... dùng khi hai vế có ý tương phản. Trong tiếng Trung có thể dùng cả 虽然 và 但是 trong cùng câu.,虽然今天很冷，但是我很高兴。,"Suīrán jīntiān hěn lěng, dànshì wǒ hěn gāoxìng.",Tuy hôm nay lạnh nhưng tôi rất vui.,虽然他很忙，但是他来。,"Suīrán tā hěn máng, dànshì tā lái.",Tuy anh ấy bận nhưng anh ấy đến.
g_hsk2_008,HSK2,"就: liền, thì, chỉ",Thời gian / điều kiện + 就 + hành động,"就 có nhiều nghĩa. Ở HSK 2 nên nhớ: nhấn mạnh xảy ra sớm/nhanh, hoặc sau một điều kiện thì hành động xảy ra.",我马上就来。,Wǒ mǎshàng jiù lái.,Tôi đến ngay.,他八点就起床。,Tā bā diǎn jiù qǐchuáng.,Anh ấy 8 giờ đã dậy rồi.
g_hsk2_009,HSK2,再 và 又,再 + hành động chưa xảy ra / 又 + hành động đã lặp lại,再 thường dùng cho việc sẽ làm lại trong tương lai; 又 thường dùng cho việc đã xảy ra thêm lần nữa.,请再说一遍。,Qǐng zài shuō yí biàn.,Xin hãy nói lại một lần nữa.,他又迟到了。,Tā yòu chídào le.,Anh ấy lại đến muộn rồi.
g_hsk2_010,HSK2,"要: muốn, cần, sắp",要 + động từ / 要 + danh từ,"要 có thể diễn tả mong muốn, nhu cầu hoặc việc sắp xảy ra tùy ngữ cảnh.",我要一杯茶。,Wǒ yào yì bēi chá.,Tôi muốn một cốc trà.,我要去学校。,Wǒ yào qù xuéxiào.,Tôi muốn/sắp đi đến trường.
g_hsk2_011,HSK2,"可以: có thể, được phép",可以 + động từ,可以 nói về khả năng được phép hoặc điều kiện cho phép làm việc gì.,我可以进去吗？,Wǒ kěyǐ jìnqù ma?,Tôi có thể vào không?,你可以坐这儿。,Nǐ kěyǐ zuò zhèr.,Bạn có thể ngồi ở đây.
g_hsk2_012,HSK2,"可能: có thể, khả năng là",Chủ ngữ + 可能 + vị ngữ,可能 dùng để phỏng đoán hoặc nói điều gì có khả năng xảy ra.,明天可能下雨。,Míngtiān kěnéng xià yǔ.,Ngày mai có thể mưa.,他可能不来。,Tā kěnéng bù lái.,Có thể anh ấy không đến.
g_hsk2_013,HSK2,离: cách,A + 离 + B + xa/gần,离 dùng để nói khoảng cách giữa hai địa điểm hoặc hai điểm thời gian.,学校离我家很近。,Xuéxiào lí wǒ jiā hěn jìn.,Trường cách nhà tôi rất gần.,机场离这儿很远。,Jīchǎng lí zhèr hěn yuǎn.,Sân bay cách đây rất xa.
g_hsk2_014,HSK2,从...到...: từ... đến...,从 + điểm bắt đầu + 到 + điểm kết thúc,"Dùng để nói phạm vi di chuyển, thời gian hoặc quá trình từ điểm này đến điểm khác.",我从家到学校。,Wǒ cóng jiā dào xuéxiào.,Tôi đi từ nhà đến trường.,从早上到晚上，我都很忙。,"Cóng zǎoshang dào wǎnshang, wǒ dōu hěn máng.","Từ sáng đến tối, tôi đều bận."
g_hsk2_015,HSK2,"给: cho, đưa cho",Chủ ngữ + 给 + người nhận + vật / động từ,给 dùng để chỉ người nhận hoặc hành động làm cho ai.,我给你一本书。,Wǒ gěi nǐ yì běn shū.,Tôi đưa bạn một quyển sách.,他给妈妈打电话。,Tā gěi māma dǎ diànhuà.,Anh ấy gọi điện cho mẹ.
g_hsk2_016,HSK2,"让: để, bảo, khiến",让 + người + động từ,让 có thể diễn tả cho phép ai làm gì hoặc bảo/nhờ ai làm gì.,老师让我读书。,Lǎoshī ràng wǒ dú shū.,Thầy/cô bảo tôi đọc sách.,请让我进去。,Qǐng ràng wǒ jìnqù.,Xin hãy cho tôi vào.
g_hsk2_017,HSK2,往: hướng về,往 + phương hướng / địa điểm + động từ,往 chỉ hướng di chuyển hoặc hướng hành động.,往左边走。,Wǎng zuǒbian zǒu.,Đi về bên trái.,请往前走。,Qǐng wǎng qián zǒu.,Xin hãy đi về phía trước.
g_hsk2_018,HSK2,一边...一边...: vừa... vừa...,一边 + động từ 1，一边 + động từ 2,Dùng để nói hai hành động diễn ra cùng lúc bởi cùng một chủ thể.,他一边吃饭，一边看电视。,"Tā yìbiān chī fàn, yìbiān kàn diànshì.",Anh ấy vừa ăn cơm vừa xem tivi.,我一边听，一边写。,"Wǒ yìbiān tīng, yìbiān xiě.",Tôi vừa nghe vừa viết.
g_hsk2_019,HSK2,一下: làm thử / một chút,Động từ + 一下,"一下 làm cho câu nhẹ hơn, diễn tả thử làm hoặc làm trong thời gian ngắn.",你看一下。,Nǐ kàn yíxià.,Bạn xem một chút đi.,请等一下。,Qǐng děng yíxià.,Xin đợi một chút.
g_hsk2_020,HSK2,别: đừng,别 + động từ,别 dùng để khuyên hoặc yêu cầu ai không làm việc gì.,别说话。,Bié shuōhuà.,Đừng nói chuyện.,别去那儿。,Bié qù nàr.,Đừng đi đến đó.
g_hsk2_021,HSK2,已经: đã,已经 + động từ / tính từ + 了,"已经 nhấn mạnh việc gì đã xảy ra hoặc trạng thái đã đạt tới, thường đi với 了.",我已经吃饭了。,Wǒ yǐjīng chī fàn le.,Tôi đã ăn cơm rồi.,他已经回家了。,Tā yǐjīng huí jiā le.,Anh ấy đã về nhà rồi.
g_hsk2_022,HSK2,每...都...: mỗi... đều...,每 + danh từ/lượng từ + 都 + vị ngữ,"每 nói từng cá thể trong một nhóm, 都 nhấn mạnh tất cả đều như vậy.",我每天都学习。,Wǒ měi tiān dōu xuéxí.,Mỗi ngày tôi đều học.,每个人都很高兴。,Měi ge rén dōu hěn gāoxìng.,Mỗi người đều rất vui.
g_hsk2_023,HSK2,第: số thứ tự,第 + số,"Thêm 第 trước số để tạo số thứ tự: thứ nhất, thứ hai, thứ ba...",这是第一课。,Zhè shì dì-yī kè.,Đây là bài thứ nhất.,他是第二个学生。,Tā shì dì-èr ge xuésheng.,Anh ấy là học sinh thứ hai.
g_hsk2_024,HSK2,Tần suất với 次,Số + 次,次 là lượng từ chỉ số lần làm một việc.,我去过北京两次。,Wǒ qù guo Běijīng liǎng cì.,Tôi đã từng đi Bắc Kinh hai lần.,请再说一次。,Qǐng zài shuō yí cì.,Xin nói lại một lần nữa.
g_hsk2_025,HSK2,快要...了: sắp...,快要 / 要 + động từ + 了,Dùng để nói việc gì sắp xảy ra trong thời gian gần.,快要下雨了。,Kuàiyào xià yǔ le.,Sắp mưa rồi.,我们要考试了。,Wǒmen yào kǎoshì le.,Chúng tôi sắp thi rồi.
