id,level,type,title,vi_text,zh_text,pinyin,usage,keywords
t_hsk1_001,HSK1,Giới thiệu bản thân,Giới thiệu ngắn khi gặp bạn mới,"Xin chào, tôi tên là An. Tôi là người Việt Nam. Tôi đang học tiếng Trung. Rất vui được quen bạn.",你好，我叫安。我是越南人。我在学习汉语。认识你很高兴。,"Nǐ hǎo, wǒ jiào Ān. Wǒ shì Yuènán rén. Wǒ zài xuéxí Hànyǔ. Rènshi nǐ hěn gāoxìng.",Dùng khi giới thiệu bản thân với bạn mới hoặc giáo viên.,我叫 / 我是 / 学习汉语
t_hsk1_002,HSK1,Tin nhắn,Hỏi bạn có rảnh không,Hôm nay bạn có thời gian không? Tôi muốn uống trà với bạn.,你今天有时间吗？我想和你喝茶。,Nǐ jīntiān yǒu shíjiān ma? Wǒ xiǎng hé nǐ hē chá.,Dùng để nhắn bạn bè một cách đơn giản.,今天 / 有时间 / 想
t_hsk1_003,HSK1,Cảm ơn,Cảm ơn lịch sự,Cảm ơn bạn đã giúp tôi. Bạn thật tốt. Tôi rất vui.,谢谢你帮我。你真好。我很高兴。,Xièxie nǐ bāng wǒ. Nǐ zhēn hǎo. Wǒ hěn gāoxìng.,Dùng sau khi được người khác giúp đỡ.,谢谢 / 帮 / 真好
t_hsk1_004,HSK1,Xin lỗi,Xin lỗi vì đến muộn,"Xin lỗi, hôm nay tôi đến muộn. Bây giờ tôi đến rồi.",对不起，我今天来晚了。现在我到了。,"Duìbuqǐ, wǒ jīntiān lái wǎn le. Xiànzài wǒ dào le.",Dùng khi đi học/đi hẹn bị muộn.,对不起 / 今天 / 现在
t_hsk1_005,HSK1,Mua đồ,Nhắn mua đồ uống,Tôi muốn mua một cốc trà và một chai nước. Tổng cộng bao nhiêu tiền?,我想买一杯茶和一瓶水。一共多少钱？,Wǒ xiǎng mǎi yì bēi chá hé yì píng shuǐ. Yígòng duōshao qián?,Dùng khi mua đồ ở cửa hàng.,想买 / 一杯 / 多少钱
t_hsk1_006,HSK1,Hỏi đường,Hỏi nhà vệ sinh ở đâu,"Xin hỏi, nhà vệ sinh ở đâu? Tôi không biết đi như thế nào.",请问，洗手间在哪儿？我不知道怎么走。,"Qǐngwèn, xǐshǒujiān zài nǎr? Wǒ bù zhīdào zěnme zǒu.","Dùng trong quán ăn, trường học, sân bay.",请问 / 在哪儿 / 怎么走
t_hsk1_007,HSK1,Lịch học,Nói về lịch học hôm nay,Hôm nay tôi học tiếng Trung ở trường. Sau giờ học tôi về nhà nghỉ ngơi.,今天我在学校学习汉语。下课以后我回家休息。,Jīntiān wǒ zài xuéxiào xuéxí Hànyǔ. Xiàkè yǐhòu wǒ huí jiā xiūxi.,Dùng để nói lịch sinh hoạt đơn giản.,今天 / 在学校 / 以后
t_hsk1_008,HSK1,Mời bạn,Rủ bạn đi ăn,Tối nay bạn muốn đi ăn cơm không? Tôi biết một nhà hàng rất ngon.,今天晚上你想去吃饭吗？我知道一个很好吃的饭店。,Jīntiān wǎnshang nǐ xiǎng qù chī fàn ma? Wǒ zhīdào yí ge hěn hǎochī de fàndiàn.,Dùng để rủ bạn đi ăn.,晚上 / 想去 / 饭店
t_hsk2_001,HSK2,Xin nghỉ,Xin nghỉ vì bị ốm,"Thầy/cô ơi, hôm nay em bị ốm nên không thể đến lớp. Em sẽ học bù vào ngày mai.",老师，今天我生病了，所以不能来上课。明天我会补学习。,"Lǎoshī, jīntiān wǒ shēngbìng le, suǒyǐ bù néng lái shàngkè. Míngtiān wǒ huì bǔ xuéxí.",Dùng để nhắn giáo viên khi không đi học được.,生病 / 所以 / 不能
t_hsk2_002,HSK2,Đổi lịch,Xin đổi thời gian hẹn,"Xin lỗi, hôm nay tôi hơi bận. Chúng ta có thể gặp nhau vào chiều mai không?",不好意思，我今天有点儿忙。我们可以明天下午见面吗？,"Bù hǎoyìsi, wǒ jīntiān yǒudiǎnr máng. Wǒmen kěyǐ míngtiān xiàwǔ jiànmiàn ma?",Dùng khi muốn đổi lịch hẹn lịch sự.,不好意思 / 有点儿 / 可以
t_hsk2_003,HSK2,Mua sắm,Hỏi giá và mặc cả nhẹ,"Cái áo này rất đẹp, nhưng hơi đắt. Có thể rẻ hơn một chút không?",这件衣服很好看，但是有点儿贵。可以便宜一点儿吗？,"Zhè jiàn yīfu hěn hǎokàn, dànshì yǒudiǎnr guì. Kěyǐ piányi yìdiǎnr ma?",Dùng khi mua quần áo hoặc đồ dùng.,这件 / 但是 / 便宜一点儿
t_hsk2_004,HSK2,Hỏi đường,Hỏi đường đến ga tàu,"Xin hỏi, từ đây đến ga tàu đi như thế nào? Đi xe buýt mất bao lâu?",请问，从这里到火车站怎么走？坐公共汽车要多长时间？,"Qǐngwèn, cóng zhèlǐ dào huǒchēzhàn zěnme zǒu? Zuò gōnggòng qìchē yào duō cháng shíjiān?",Dùng khi đi du lịch hoặc cần hỏi đường.,从 / 到 / 多长时间
t_hsk2_005,HSK2,Công việc,Giải thích đang bận,"Tôi đang làm việc, bây giờ không tiện nói chuyện. Sau khi xong việc tôi sẽ gọi lại cho bạn.",我正在工作，现在不方便说话。工作完以后我给你回电话。,"Wǒ zhèngzài gōngzuò, xiànzài bù fāngbiàn shuōhuà. Gōngzuò wán yǐhòu wǒ gěi nǐ huí diànhuà.",Dùng khi đang bận và muốn gọi lại sau.,正在 / 现在 / 以后
t_hsk2_006,HSK2,Thời tiết,Nhắc mang ô,Ngày mai có thể mưa. Khi ra ngoài bạn đừng quên mang ô.,明天可能下雨。出门的时候你别忘了带伞。,Míngtiān kěnéng xià yǔ. Chūmén de shíhou nǐ bié wàng le dài sǎn.,Dùng để nhắc bạn bè/người thân.,可能 / 的时候 / 别忘了
t_hsk2_007,HSK2,Du lịch,Nói kế hoạch du lịch,Cuối tuần này tôi muốn đi du lịch với bạn bè. Chúng tôi định đi Bắc Kinh bằng máy bay.,这个周末我想和朋友一起去旅游。我们准备坐飞机去北京。,Zhège zhōumò wǒ xiǎng hé péngyou yìqǐ qù lǚyóu. Wǒmen zhǔnbèi zuò fēijī qù Běijīng.,Dùng khi nói kế hoạch cuối tuần/du lịch.,周末 / 一起 / 准备
t_hsk2_008,HSK2,Nhà hàng,Đánh giá nhà hàng,"Tôi thấy nhà hàng này rất tốt. Đồ ăn ngon, nhân viên cũng rất nhiệt tình.",我觉得这个饭店很好。菜很好吃，服务员也很热情。,"Wǒ juéde zhège fàndiàn hěn hǎo. Cài hěn hǎochī, fúwùyuán yě hěn rèqíng.",Dùng khi đánh giá một nơi sau khi ăn.,觉得 / 好吃 / 也
t_hsk2_009,HSK2,Học tập,Mục tiêu học tiếng Trung,Tôi học tiếng Trung vì muốn nói chuyện với người Trung Quốc. Mỗi ngày tôi đều học mười từ mới.,我学习汉语，因为我想和中国人说话。我每天都学习十个新词。,"Wǒ xuéxí Hànyǔ, yīnwèi wǒ xiǎng hé Zhōngguó rén shuōhuà. Wǒ měitiān dōu xuéxí shí ge xīn cí.",Dùng để nói mục tiêu học tập.,因为 / 想 / 每天都
t_hsk2_010,HSK2,Lời nhắn,Nhờ bạn chờ một chút,"Tôi sắp đến rồi. Bạn đợi tôi một chút, tôi đến nơi sẽ gọi điện cho bạn.",我快要到了。你等我一下，我到的时候给你打电话。,"Wǒ kuàiyào dào le. Nǐ děng wǒ yíxià, wǒ dào de shíhou gěi nǐ dǎ diànhuà.",Dùng khi đang trên đường đến điểm hẹn.,快要 / 一下 / 的时候
